Planilha Cadastro;;;Planilha Documentos de Medição;
Coluna;Significado;;Coluna;Significado
Equipamento;Identificador do objeto;;Equipamento;Identificador do objeto
Linha de Transmissão;Identificador da linha de transmissão;;Ponto medição;Identificador do ponto de medição
Denominação;Descrição do objeto;;Doc.medição;Identificador do documento de medição
Dt.entr.serviço;Data de entrada em operação;;Data;Data do ensaio/medição
Classe;Tipo do equipamento;;Item medição;Posição da estrutura onde é feita a medição
Código ABC;Criticidade;;Valor teórico;Valor teórico esperado
Tensão;Nível de tensão de operação;;LimInfIntMed.;Limite inferior esperado
Latitude;Latitude geográfica;;LimSupIntMed.;Limite superior esperado
Longitude;Longitude geográfica;;ValMed/PosTCont;Valor medido
;;;Unid.caracter.;Unidade de medição
;;;Cód.valorização;Catálogo de respostas
;;;Txt.code codif.;Resposta
;;;Denominação;Denominação do ponto de medição
;;;Texto;Comentários
