Denominação_categoria,Denominação_subcategoria,Cód.valorização,Txt.code codif.,Count
Acesso e Segurança,Condicao Do Acesso,1.0,CONDIÇÃO NORMAL,2077
Acesso e Segurança,Condicao Do Acesso,2.0,ROÇAR OU REABRIR,3066
Acesso e Segurança,Condicao Do Acesso,3.0,INEXISTENTE,12
Acesso e Segurança,Condicao Do Acesso,4.0,INTERROMPIDO,32
Acesso e Segurança,Estreitamento Da Faixa,-1.0,Desconhecido,13
Acesso e Segurança,Estreitamento Da Faixa,1.0,LADO DIREITO,581
Acesso e Segurança,Estreitamento Da Faixa,1.0,RISCO FUTURO,3
Acesso e Segurança,Estreitamento Da Faixa,2.0,CONDIÇÃO NORMAL,8
Acesso e Segurança,Estreitamento Da Faixa,2.0,LADO ESQUERDO,670
Acesso e Segurança,Estreitamento Da Faixa,3.0,AMBOS OS LADOS,703
Acesso e Segurança,Estreitamento Da Faixa,5.0,CONDIÇÃO NORMAL,1189
Acesso e Segurança,Seccinamento Em Cerca Faltante,1.0,ATERRAMENTO FALTANTE,228
Acesso e Segurança,Seccinamento Em Cerca Faltante,2.0,CONDIÇÃO NORMAL,126
Acesso e Segurança,Seccinamento Em Cerca Faltante,3.0,SECCIONAMENTO FALTANTE,72
Acesso e Segurança,Seccinamento Em Cerca Faltante,4.0,ATERR. E SECC. FALTANTE,125
Acesso e Segurança,Travessia Irregular,1.0,RISCO FUTURO,30
Acesso e Segurança,Travessia Irregular,2.0,CONDIÇÃO NORMAL,20
Base e Fundação,Base Alagada,-1.0,Desconhecido,2
Base e Fundação,Base Alagada,1.0,RISCO FUTURO,42
Base e Fundação,Base Alagada,2.0,CONDIÇÃO NORMAL,30
Base e Fundação,Base Assoreada,-1.0,Desconhecido,1
Base e Fundação,Base Assoreada,1.0,RISCO FUTURO,278
Base e Fundação,Base Assoreada,2.0,CONDIÇÃO NORMAL,194
Base e Fundação,Base Assoreada,3.0,CONDIÇÃO PERIGOSA,1
Base e Fundação,Base Com Formigueiro,1.0,RISCO FUTURO,422
Base e Fundação,Base Com Formigueiro,2.0,CONDIÇÃO NORMAL,307
Base e Fundação,Base Desarroreada,1.0,RISCO FUTURO,37
Base e Fundação,Base Desarroreada,2.0,CONDIÇÃO NORMAL,32
Base e Fundação,Base Risco D Abalroamento,-1.0,Desconhecido,4
Base e Fundação,Base Risco D Abalroamento,1.0,RISCO FUTURO,66
Base e Fundação,Base Risco D Abalroamento,2.0,CONDIÇÃO NORMAL,63
Base e Fundação,Base Suja,-1.0,Desconhecido,11
Base e Fundação,Base Suja,1.0,RISCO FUTURO,12021
Base e Fundação,Base Suja,2.0,CONDIÇÃO NORMAL,8334
Base e Fundação,Base Suja,3.0,CONDIÇÃO PERIGOSA,5
Componentes Estruturais,Estrutura,2.0,COM OBJETO ESTRANHO,131
Componentes Estruturais,Estrutura,3.0,CONDIÇÃO NORMAL,700
Componentes Estruturais,Estrutura,4.0,FORA DE PRUMO,1
Componentes Estruturais,Estrutura,5.0,FALTANDO BALISAMENTO,56
Componentes Estruturais,Estrutura,6.0,ESTAI-RETENSIONAR,378
Componentes Estruturais,Estrutura,11.0,PIPA/RABIOLA,4
Componentes Estruturais,Peca Dos Bracos,-1.0,Desconhecido,13
Componentes Estruturais,Peca Dos Bracos,1.0,CORROSÃO GRAU I,96
Componentes Estruturais,Peca Dos Bracos,2.0,CORROSÃO GRAU II,256
Componentes Estruturais,Peca Dos Bracos,3.0,CONDIÇÃO NORMAL,1
Componentes Estruturais,Peca Dos Bracos,3.0,CORROSÃO GRAU III,153
Componentes Estruturais,Peca Dos Bracos,5.0,DANIFICADO,46
Componentes Estruturais,Peca Dos Bracos,6.0,MAL INSTALADO,9
Componentes Estruturais,Peca Dos Bracos,7.0,FALTANDO,5
Componentes Estruturais,Peca Dos Bracos,8.0,CONDIÇÃO NORMAL,181
Componentes Estruturais,Peca Dos Bracos,9.0,INADEQUADO,11
Componentes Estruturais,Pecas Da Base(Pes),-1.0,Desconhecido,14
Componentes Estruturais,Pecas Da Base(Pes),1.0,CORROSÃO GRAU I,35
Componentes Estruturais,Pecas Da Base(Pes),2.0,CORROSÃO GRAU II,37
Componentes Estruturais,Pecas Da Base(Pes),3.0,CONDIÇÃO NORMAL,1
Componentes Estruturais,Pecas Da Base(Pes),3.0,CORROSÃO GRAU III,8
Componentes Estruturais,Pecas Da Base(Pes),5.0,DANIFICADO,112
Componentes Estruturais,Pecas Da Base(Pes),6.0,MAL INSTALADO,4
Componentes Estruturais,Pecas Da Base(Pes),7.0,FALTANDO,309
Componentes Estruturais,Pecas Da Base(Pes),8.0,CONDIÇÃO NORMAL,239
Componentes Estruturais,Pecas Da Base(Pes),9.0,INADEQUADO,1
Componentes Estruturais,Pecas Da Base(Pes),10.0,SEM VISUALIZAÇÃO (DRONE),933
Componentes Estruturais,Pecas Do Corpo,1.0,CORROSÃO GRAU I,83
Componentes Estruturais,Pecas Do Corpo,2.0,CORROSÃO GRAU II,215
Componentes Estruturais,Pecas Do Corpo,3.0,CONDIÇÃO NORMAL,1
Componentes Estruturais,Pecas Do Corpo,3.0,CORROSÃO GRAU III,156
Componentes Estruturais,Pecas Do Corpo,5.0,DANIFICADO,68
Componentes Estruturais,Pecas Do Corpo,6.0,MAL INSTALADO,63
Componentes Estruturais,Pecas Do Corpo,7.0,FALTANDO,95
Componentes Estruturais,Pecas Do Corpo,8.0,CONDIÇÃO NORMAL,171
Componentes Estruturais,Pecas Do Corpo,9.0,INADEQUADO,31
Componentes Estruturais,Pedarol,1.0,FALTANDO,8
Componentes Estruturais,Pedarol,2.0,CONDIÇÃO NORMAL,1
