cluster_geo,Denominação_categoria,total_inspecoes,n_problemas,prop_risco_cluster
0.0,Acesso e Segurança,146,85,0.5821917808219178
0.0,Base e Fundação,1717,892,0.5195107746068724
0.0,Componentes Estruturais,379,114,0.3007915567282322
0.0,Corrosão,5155,232,0.04500484966052376
0.0,Desgastes,38,3,0.07894736842105263
0.0,Distâncias,277,140,0.5054151624548736
0.0,Emendas e Jumpers,3,1,0.3333333333333333
0.0,Grampos e Fixadores,442,105,0.23755656108597284
0.0,Isoladores,999,60,0.06006006006006006
0.0,Outros,1514,372,0.24570673712021135
0.0,Proteções e Acessórios,263,18,0.06844106463878327
0.0,Sinalização Aérea,7,0,0.0
0.0,Tentos Rompidos,33,5,0.15151515151515152
0.0,Vegetação e Limpeza,9226,4998,0.5417298937784522
1.0,Acesso e Segurança,3178,1989,0.6258653241032096
1.0,Base e Fundação,4618,2702,0.5851017756604591
1.0,Componentes Estruturais,1474,388,0.26322930800542743
1.0,Corrosão,38254,3144,0.08218748366183928
1.0,Desgastes,921,264,0.28664495114006516
1.0,Distâncias,6191,2991,0.48312065902115975
1.0,Emendas e Jumpers,9,4,0.4444444444444444
1.0,Grampos e Fixadores,557,199,0.35727109515260325
1.0,Isoladores,5360,111,0.020708955223880596
1.0,Outros,4164,1116,0.2680115273775216
1.0,Proteções e Acessórios,833,109,0.13085234093637454
1.0,Sinalização Aérea,103,21,0.20388349514563106
1.0,Temperatura,399,211,0.5288220551378446
1.0,Tentos Rompidos,411,160,0.38929440389294406
1.0,Vegetação e Limpeza,13738,8444,0.6146455088076868
2.0,Acesso e Segurança,412,249,0.6043689320388349
2.0,Base e Fundação,1322,778,0.5885022692889561
2.0,Componentes Estruturais,552,187,0.338768115942029
2.0,Corrosão,5678,99,0.017435716801690735
2.0,Desgastes,56,2,0.03571428571428571
2.0,Distâncias,857,417,0.4865810968494749
2.0,Grampos e Fixadores,135,52,0.3851851851851852
2.0,Isoladores,294,35,0.11904761904761904
2.0,Outros,837,254,0.3034647550776583
2.0,Proteções e Acessórios,178,19,0.10674157303370786
2.0,Sinalização Aérea,21,8,0.38095238095238093
2.0,Temperatura,52,23,0.4423076923076923
2.0,Tentos Rompidos,18,6,0.3333333333333333
2.0,Vegetação e Limpeza,6682,3600,0.5387608500448967
3.0,Acesso e Segurança,349,241,0.6905444126074498
3.0,Base e Fundação,913,606,0.6637458926615553
3.0,Componentes Estruturais,348,51,0.14655172413793102
3.0,Corrosão,5794,69,0.011908871246116672
3.0,Desgastes,42,6,0.14285714285714285
3.0,Distâncias,580,271,0.4672413793103448
3.0,Grampos e Fixadores,64,27,0.421875
3.0,Isoladores,386,45,0.11658031088082901
3.0,Outros,2413,378,0.15665147119767925
3.0,Proteções e Acessórios,391,47,0.12020460358056266
3.0,Sinalização Aérea,1,0,0.0
3.0,Temperatura,5,1,0.2
3.0,Tentos Rompidos,23,4,0.17391304347826086
3.0,Vegetação e Limpeza,6104,2760,0.4521625163826999
4.0,Acesso e Segurança,680,379,0.5573529411764706
4.0,Base e Fundação,1811,913,0.5041413583655439
4.0,Componentes Estruturais,565,85,0.1504424778761062
4.0,Corrosão,10597,519,0.048976125318486365
4.0,Desgastes,375,78,0.208
4.0,Distâncias,1433,636,0.4438241451500349
4.0,Grampos e Fixadores,60,16,0.26666666666666666
4.0,Isoladores,1620,431,0.2660493827160494
4.0,Outros,1211,356,0.2939719240297275
4.0,Proteções e Acessórios,224,20,0.08928571428571429
4.0,Sinalização Aérea,33,11,0.3333333333333333
4.0,Temperatura,166,83,0.5
4.0,Tentos Rompidos,56,21,0.375
4.0,Vegetação e Limpeza,7397,3798,0.5134513992158983
5.0,Acesso e Segurança,109,68,0.6238532110091743
5.0,Base e Fundação,1832,1002,0.5469432314410481
5.0,Componentes Estruturais,324,128,0.3950617283950617
5.0,Corrosão,3876,160,0.0412796697626419
5.0,Desgastes,3,2,0.6666666666666666
5.0,Distâncias,299,155,0.5183946488294314
5.0,Grampos e Fixadores,115,20,0.17391304347826086
5.0,Isoladores,590,121,0.20508474576271185
5.0,Outros,310,124,0.4
5.0,Proteções e Acessórios,18,2,0.1111111111111111
5.0,Sinalização Aérea,14,0,0.0
5.0,Temperatura,1,0,0.0
5.0,Tentos Rompidos,43,9,0.20930232558139536
5.0,Vegetação e Limpeza,6094,3543,0.5813915326550706
6.0,Acesso e Segurança,236,135,0.5720338983050848
6.0,Base e Fundação,669,329,0.49177877428998507
6.0,Componentes Estruturais,11,1,0.09090909090909091
6.0,Corrosão,517,26,0.05029013539651837
6.0,Distâncias,59,28,0.4745762711864407
6.0,Grampos e Fixadores,16,0,0.0
6.0,Isoladores,52,0,0.0
6.0,Outros,77,44,0.5714285714285714
6.0,Proteções e Acessórios,1,0,0.0
6.0,Sinalização Aérea,83,46,0.5542168674698795
6.0,Tentos Rompidos,2,0,0.0
6.0,Vegetação e Limpeza,685,374,0.545985401459854
7.0,Acesso e Segurança,286,160,0.5594405594405595
7.0,Base e Fundação,2483,1184,0.47684252919855014
7.0,Componentes Estruturais,391,46,0.11764705882352941
7.0,Corrosão,12701,144,0.011337689945673569
7.0,Desgastes,311,33,0.10610932475884244
7.0,Distâncias,464,231,0.4978448275862069
7.0,Emendas e Jumpers,5,1,0.2
7.0,Grampos e Fixadores,112,44,0.39285714285714285
7.0,Isoladores,1054,61,0.05787476280834915
7.0,Outros,2272,212,0.09330985915492958
7.0,Proteções e Acessórios,107,15,0.14018691588785046
7.0,Sinalização Aérea,5,4,0.8
7.0,Temperatura,146,66,0.4520547945205479
7.0,Tentos Rompidos,475,12,0.02526315789473684
7.0,Vegetação e Limpeza,10847,5758,0.5308380197289573
